"n_mon","n_year","n_rgim","n_type","p_civ","p_arm","p_pac","p_pol","p_par","p_urn","c_tot","id"
7,1980,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,70,"14-17"
2,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,168,"3-10"
2,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,85,"3-11"
4,1981,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,12,"3-11"
4,1981,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,1,"3-11"
4,1981,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,12,"3-11"
5,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,70,"14-17"
6,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,36,"8-18"
7,1981,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,0,0,225,"8-19"
7,1981,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,60,"14-17"
9,1981,"Fernando Romeo Lucas Garcia","disapp",0,0,0,0,0,0,29,"14-2"
9,1981,"Fernando Romeo Lucas Garcia","disapp_dead",0,0,0,0,0,0,36,"14-2"
1,1982,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,4,"3-11"
1,1982,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,2,"3-11"
1,1982,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,1,"3-11"
1,1982,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,37,"2-4"
1,1982,"Fernando Romeo Lucas Garcia","killed",0,0,0,0,1,0,72,"17-24"
2,1982,"Fernando Romeo Lucas Garcia","killed",0,0,1,0,0,0,73,"2-4"
3,1982,"Fernando Romeo Lucas Garcia","killed",0,1,1,0,0,0,177,"2-4"
3,1982,"Fernando Romeo Lucas Garcia","tortured",0,1,1,0,0,0,2,"2-4"
7,1994,"Ramiro de Leon Carpio","killed",0,0,0,0,0,0,1,"2-4"
3,1982,"Fernando Romeo Lucas Garcia","killed",0,1,0,0,0,0,2,"3-11"
